"Module","BackendModule","Entity","FeatureAction","ActionKind","HttpMethod","BackendRoute","RequiredPermission","PermissionReference","UICoverageStatus","UIRouteOrPath","GapSeverity","BackendSource"
"Catalog and pricing","Catalog","Brands","GetBrandsByCompanyId","View/List","GET","""/api/v1/catalog/brands/company/{companyId}"",","PermissionList.BrandPermissions.View","BrandPermissions.View","Menu reachable","/Warehouse/Product/Category/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Brands/GetBrandsByCompanyId/GetBrandsByCompanyIdEndpoint.cs"
"Catalog and pricing","Catalog","Brands","RemoveBrand","Workflow","DELETE","""/api/v1/catalog/brands/{id}"", async ([FromRoute]Guid id,[FromServices] ISender sender) =>","$""{PermissionList.BrandPermissions.Delete}""","BrandPermissions.Delete","In-page action reachable","/Warehouse/Product/Brand/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Brands/RemoveBrand/RemoveBrandEndPoint.cs"
"Catalog and pricing","Catalog","Brands","UpdateBrand","Workflow","PUT","""/api/v1/catalog/brands"", async (UpdateBrandRequest request, ISender sender) =>","$""{PermissionList.BrandPermissions.Edit}""","BrandPermissions.Edit","In-page action reachable","/Warehouse/Product/Brand/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Brands/UpdateBrand/UpdateBrandEndPoint.cs"
"Catalog and pricing","Catalog","Categories","CreateCategory","Workflow","POST","""/api/v1/catalog/categories"", async (CreateCategoryRequest request, ISender sender) =>","$""{PermissionList.CategoryPermissions.Create}""","CategoryPermissions.Create","In-page action reachable","/Warehouse/Product/Category/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Categories/CreateCategory/CreateCategoryEndPoint.cs"
"Catalog and pricing","Catalog","Categories","GetCategories","Workflow","GET","""/api/v1/catalog/categories"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.CategoryPermissions.View","CategoryPermissions.View","Menu reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Categories/GetCategories/GetCategoriesEndPoint.cs"
"Catalog and pricing","Catalog","Categories","GetCategoriesByCompany","Workflow","GET","""/api/v1/catalog/categories/company/{companyId}"", async ([FromRoute]Guid companyId,[AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.CategoryPermissions.View","CategoryPermissions.View","Menu reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Categories/GetCategoriesByCompany/GetCategoriesByCompanyEndpoint.cs"
"Catalog and pricing","Catalog","Categories","GetCategoryById","Workflow","GET","""/api/v1/catalog/Categories/{id}"", async (Guid id, ISender sender) =>","PermissionList.CategoryPermissions.View","CategoryPermissions.View","Menu reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Categories/GetCategoryById/GetCategoryByIdEndPoint.cs"
"Catalog and pricing","Catalog","Categories","RemoveCategory","Workflow","DELETE","""/api/v1/catalog/categories/{id}"", async ([FromRoute]Guid id, [FromServices]ISender sender) =>","$""{PermissionList.CategoryPermissions.Delete}""","CategoryPermissions.Delete","In-page action reachable","/Warehouse/Product/Category/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Categories/RemoveCategory/RemoveCategoryEndPoint.cs"
"Catalog and pricing","Catalog","Categories","UpdateCategory","Workflow","PUT","""/api/v1/catalog/categories"", async (UpdateCategoryRequest request, ISender sender) =>","$""{PermissionList.CategoryPermissions.Edit}""","CategoryPermissions.Edit","In-page action reachable","/Warehouse/Product/Category/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Categories/UpdateCategory/UpdateCategoryEndPoint.cs"
"Catalog and pricing","Pricing","PriceListItems","CreatePriceListItem","Workflow","POST","""/api/v1/pricing/priceListItems"", async (CreatePriceListItemRequest request, ISender sender) =>","PermissionList.PricingPermissions.Create","PricingPermissions.Create","In-page action reachable","/Catalog/Pricing/List","Covered","src/Modules/Pricing/Pricing/Pricings/Features/PriceListItems/CreatePriceListItem/CreatePriceListItemEndpoint.cs"
"Catalog and pricing","Pricing","PriceListItems","GetPriceListItems","Workflow","GET","""/api/v1/pricing/priceLists/{priceListId}/items"", async ([FromRoute] Guid priceListId, ISender sender) =>","PermissionList.PricingPermissions.View","PricingPermissions.View","Menu reachable","/Catalog/Product/ProductSku/List","Covered","src/Modules/Pricing/Pricing/Pricings/Features/PriceListItems/GetPriceListItems/GetPriceListItemsEndpoint.cs"
"Catalog and pricing","Pricing","PriceListItems","UpdatePriceListItem","Workflow","PUT","""/api/v1/pricing/priceListItems"", async (UpdatePriceListItemRequest request, ISender sender) =>","PermissionList.PricingPermissions.Edit","PricingPermissions.Edit","In-page action reachable","/Catalog/Pricing/List","Covered","src/Modules/Pricing/Pricing/Pricings/Features/PriceListItems/UpdatePriceListItem/UpdatePriceListItemEndpoint.cs"
"Catalog and pricing","Pricing","PriceLists","CreatePriceList","Workflow","POST","""/api/v1/pricing/priceLists"", async (CreatePriceListRequest request, ISender sender) =>","PermissionList.PricingPermissions.Create","PricingPermissions.Create","In-page action reachable","/Catalog/Pricing/List","Covered","src/Modules/Pricing/Pricing/Pricings/Features/PriceLists/CreatePriceList/CreatePriceListEndpoint.cs"
"Catalog and pricing","Pricing","PriceLists","GetPriceListsByCompany","Workflow","GET","""/api/v1/pricing/priceLists/company/{companyId}"", async ([FromRoute] Guid companyId, [AsParameters] PaginationRequest request, ISender sender) =>","PermissionList.PricingPermissions.View","PricingPermissions.View","Menu reachable","/Catalog/Product/ProductSku/List","Covered","src/Modules/Pricing/Pricing/Pricings/Features/PriceLists/GetPriceListsByCompany/GetPriceListsByCompanyEndpoint.cs"
"Catalog and pricing","Pricing","PriceLists","UpdatePriceList","Workflow","PUT","""/api/v1/pricing/priceLists"", async (UpdatePriceListRequest request, ISender sender) =>","PermissionList.PricingPermissions.Edit","PricingPermissions.Edit","In-page action reachable","/Catalog/Pricing/List","Covered","src/Modules/Pricing/Pricing/Pricings/Features/PriceLists/UpdatePriceList/UpdatePriceListEndpoint.cs"
"Catalog and pricing","Catalog","ProductPackages","CreateProductPackage","Workflow","POST","""/api/v1/catalog/packages"", async (AddProductPackageRequest request, ISender sender) =>","$""{PermissionList.ProductPackagePermissions.Create}""","ProductPackagePermissions.Create","In-page action reachable","/Warehouse/Product/Packages/List","Covered","src/Modules/Catalog/Catalog/Products/Features/ProductPackages/CreateProductPackage/CreateProductPackageEndPoint.cs"
"Catalog and pricing","Catalog","ProductPackages","GetProductPackageById","Workflow","GET","""/api/v1/catalog/packages/{id:guid}"", async ([FromRoute]Guid id,[FromServices] ISender sender) =>","PermissionList.ProductPackagePermissions.View","ProductPackagePermissions.View","Menu reachable","/Warehouse/Product/Brand/List","Covered","src/Modules/Catalog/Catalog/Products/Features/ProductPackages/GetProductPackageById/GetProductPackageByIdEndPoint.cs"
"Catalog and pricing","Catalog","ProductPackages","GetProductPackages","Workflow","GET","""/api/v1/catalog/packages"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.ProductPackagePermissions.View","ProductPackagePermissions.View","Menu reachable","/Warehouse/Product/Brand/List","Covered","src/Modules/Catalog/Catalog/Products/Features/ProductPackages/GetProductPackages/GetProductPackagesEndPoint.cs"
"Catalog and pricing","Catalog","ProductPackages","GetProductPackagesByCompany","Workflow","GET","""/api/v1/catalog/packages/company/{companyId}"", async ([FromRoute]Guid companyId,[AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.ProductPackagePermissions.View","ProductPackagePermissions.View","Menu reachable","/Warehouse/Product/Brand/List","Covered","src/Modules/Catalog/Catalog/Products/Features/ProductPackages/GetProductPackagesByCompany/GetProductPackagesByCompanyEndPoint.cs"
"Catalog and pricing","Catalog","ProductPackages","RemoveProductPackage","Workflow","DELETE","""/api/v1/catalog/packages/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.ProductPackagePermissions.Delete}""","ProductPackagePermissions.Delete","In-page action reachable","/Warehouse/Product/Packages/List","Covered","src/Modules/Catalog/Catalog/Products/Features/ProductPackages/RemoveProductPackage/RemoveProductPackageEndPoint.cs"
"Catalog and pricing","Catalog","ProductPackages","UpdateProductPackage","Workflow","PUT","""/api/v1/catalog/packages"", async (UpdateProductPackageRequest request, ISender sender) =>","$""{PermissionList.ProductPackagePermissions.Edit}""","ProductPackagePermissions.Edit","In-page action reachable","/Warehouse/Product/Packages/List","Covered","src/Modules/Catalog/Catalog/Products/Features/ProductPackages/UpdateProductPackage/UpdateProductPackageEndPoint.cs"
"Catalog and pricing","Catalog","Products","AddProductSku","Workflow","POST","""/api/v1/catalog/products/skus"", async (AddProductSkuRequest request, ISender sender) =>","$""{PermissionList.ProductPermissions.Create}""","ProductPermissions.Create","In-page action reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/AddProductSku/AddProductSkuEndPoint.cs"
"Catalog and pricing","Catalog","Products","CreateProduct","Workflow","POST","""/api/v1/catalog/products"", async (CreateProductRequest request, ISender sender) =>","$""{PermissionList.ProductPermissions.Create}""","ProductPermissions.Create","In-page action reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/CreateProduct/CreateProductEndPoint.cs"
"Catalog and pricing","Catalog","Products","GetProductByCompany","View/List","GET","""/api/v1/catalog/products/company/{companyId}"",","PermissionList.ProductPermissions.View","ProductPermissions.View","Menu reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/GetProductByCompany/GetProductByCompanyEndpoint.cs"
"Catalog and pricing","Catalog","Products","GetProductByCompany","View/List","GET","""/api/v1/catalog/products/company/{companyId}/priced"",","PermissionList.ProductPermissions.View","ProductPermissions.View","Menu reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/GetProductByCompany/GetProductByCompanyEndpoint.cs"
"Catalog and pricing","Catalog","Products","GetProductById","Workflow","GET","""/api/v1/catalog/products/{id}"", async (Guid id, ISender sender) =>","PermissionList.ProductPermissions.Select","ProductPermissions.Select","Menu reachable","/Warehouse/Product/Dashboard","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/GetProductById/GetProductByIdEndPoint.cs"
"Catalog and pricing","Catalog","Products","GetProducts","Workflow","GET","""/api/v1/catalog/products"", async ([AsParameters]PaginationRequest request, [FromServices]ISender sender) =>","PermissionList.ProductPermissions.View","ProductPermissions.View","Menu reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/GetProducts/GetProductsEndPoint.cs"
"Catalog and pricing","Catalog","Products","GetProductsByCategoryId","Workflow","GET","""/api/v1/catalog/products/GetByCategory/{categoryId}"", async ( [FromRoute] Guid categoryId,[AsParameters] PaginationRequest request,[FromServices] ISender sender) =>","PermissionList.ProductPermissions.View","ProductPermissions.View","Menu reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/GetProductsByCategoryId/GetProductsByCategoryIdEndPoint.cs"
"Catalog and pricing","Catalog","Products","GetProductsByProductSKUIds","Workflow","POST","""/api/v1/catalog/products/getBySkuIds"", async (GetProductsByProductSKUIdsRequest request, [FromServices] ISender sender) =>","PermissionList.ProductPermissions.View","ProductPermissions.View","Menu reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/GetProductsByProductSKUIds/GetProductsByProductSKUIdsEndPoint.cs"
"Catalog and pricing","Catalog","Products","GetProductSkuById","Workflow","GET","""/api/v1/catalog/products/skus/{id:guid}"", async (Guid id, ISender sender) =>","PermissionList.ProductPermissions.View","ProductPermissions.View","Menu reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/GetProductSkuById/GetProductSkuByIdEndPoint.cs"
"Catalog and pricing","Catalog","Products","RemoveProduct","Workflow","DELETE","""/api/v1/catalog/products/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.ProductPermissions.Delete}""","ProductPermissions.Delete","In-page action reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/RemoveProduct/RemoveProductEndPoint.cs"
"Catalog and pricing","Catalog","Products","RemoveProductSku","Workflow","DELETE","""/api/v1/catalog/products/Skus/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.ProductPermissions.Delete}""","ProductPermissions.Delete","In-page action reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/RemoveProductSku/RemoveProductSkuEndPoint.cs"
"Catalog and pricing","Catalog","Products","SearchProducts","Workflow","GET","""/api/v1/catalog/products/search/{searchTerm}"", async (string searchTerm, ISender sender) =>","PermissionList.ProductPermissions.View","ProductPermissions.View","Menu reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/SearchProducts/SearchProductsEndPoint.cs"
"Catalog and pricing","Catalog","Products","UpdateProduct","Workflow","PUT","""/api/v1/catalog/products"", async (UpdateProductRequest request, ISender sender) =>","$""{PermissionList.ProductPermissions.Edit}""","ProductPermissions.Edit","In-page action reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/UpdateProduct/UpdateProductEndPoint.cs"
"Catalog and pricing","Catalog","Products","UpdateProductSku","Workflow","PUT","""/api/v1/catalog/products/skus"", async (UpdateProductSkuRequest request, ISender sender) =>","$""{PermissionList.ProductPermissions.Edit}""","ProductPermissions.Edit","In-page action reachable","/Catalog/Product/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Products/UpdateProductSku/UpdateProductSkuEndPoint.cs"
"Catalog and pricing","Catalog","Units","CreateUnit","Workflow","POST","""/api/v1/catalog/units"", async (CreateUnitRequest request, ISender sender) =>","$""{PermissionList.UnitPermissions.Create}""","UnitPermissions.Create","In-page action reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Units/CreateUnit/CreateUnitEndPoint.cs"
"Catalog and pricing","Catalog","Units","GetUnitById","Workflow","GET","""/api/v1/catalog/units/{id}"", async ([FromRoute] Guid id,[FromServices] ISender sender) =>","PermissionList.UnitPermissions.View","UnitPermissions.View","In-page action reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Units/GetUnitById/GetUnitByIdEndPoint.cs"
"Catalog and pricing","Catalog","Units","GetUnits","Workflow","GET","""/api/v1/catalog/units"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.UnitPermissions.View","UnitPermissions.View","In-page action reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Units/GetUnits/GetUnitsEndPoint.cs"
"Catalog and pricing","Catalog","Units","GetUnitsByComapny","Workflow","GET","""/api/v1/catalog/units/company/{companyId}"", async ([FromRoute]Guid companyId,[AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.UnitPermissions.View","UnitPermissions.View","In-page action reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Units/GetUnitsByComapny/GetUnitsByComapnyEndpoint.cs"
"Catalog and pricing","Catalog","Units","RemoveUnit","Workflow","DELETE","""/api/v1/catalog/units/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.UnitPermissions.Delete}""","UnitPermissions.Delete","In-page action reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Units/RemoveUnit/RemoveUnitEndpoint.cs"
"Catalog and pricing","Catalog","Units","UpdateUnit","Workflow","PUT","""/api/v1/catalog/units"", async (UpdateUnitRequest request, ISender sender) =>","$""{PermissionList.UnitPermissions.Edit}""","UnitPermissions.Edit","In-page action reachable","/Warehouse/Product/Unit/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Units/UpdateUnit/UpdateUnitEndPoint.cs"
"Catalog and pricing","Catalog","Variants","CreateVariant","Workflow","POST","""/api/v1/catalog/variants"", async (CreateVariantRequest request, ISender sender) =>","$""{PermissionList.VariantPermissions.Create}""","VariantPermissions.Create","In-page action reachable","/Catalog/Variant/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Variants/CreateVariant/CreateVariantEndPoint.cs"
"Catalog and pricing","Catalog","Variants","GetVariantByCompany","Workflow","GET","""/api/v1/catalog/variants/company/{companyId}"", async (Guid companyId, [AsParameters] PaginationRequest paginationRequest, ISender sender) =>","PermissionList.VariantPermissions.View","VariantPermissions.View","Menu reachable","/Warehouse/Product/Packages/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Variants/GetVariantByCompany/GetVariantByCompanyEndpoint.cs"
"Catalog and pricing","Catalog","Variants","GetVariantById","Workflow","GET","""/api/v1/catalog/variants/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","PermissionList.VariantPermissions.View","VariantPermissions.View","Menu reachable","/Warehouse/Product/Packages/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Variants/GetVariantById/GetVariantByIdEndPoint.cs"
"Catalog and pricing","Catalog","Variants","GetVariants","Workflow","GET","""/api/v1/catalog/variants"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.VariantPermissions.View","VariantPermissions.View","Menu reachable","/Warehouse/Product/Packages/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Variants/GetVariants/GetVariantsEndPoint.cs"
"Catalog and pricing","Catalog","Variants","RemoveVariant","Workflow","DELETE","""/api/v1/catalog/variants/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.VariantPermissions.Delete}""","VariantPermissions.Delete","In-page action reachable","/Catalog/Variant/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Variants/RemoveVariant/RemoveVariantEndPoint.cs"
"Catalog and pricing","Catalog","Variants","UpdateVariant","Workflow","PUT","""/api/v1/catalog/variants"", async (UpdateVariantRequest request, ISender sender) =>","$""{PermissionList.VariantPermissions.Edit}""","VariantPermissions.Edit","In-page action reachable","/Catalog/Variant/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Variants/UpdateVariant/UpdateVariantEndPoint.cs"
"Customers","Customers","CustomerGroups","CreateCustomerGroup","Workflow","POST","""/api/v1/customers/customergroup/"", async (CreateCustomerGroupRequest request, ISender sender) =>","PermissionList.CustomerGroupPermissions.Create","CustomerGroupPermissions.Create","In-page action reachable","/Customers/CustomerGroup/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/CreateCustomerGroup/CreateCustomerGroupEndpoint.cs"
"Customers","Customers","CustomerGroups","GetCustomerGroupByCompanyId","View/List","GET","""/api/v1/customers/customerGroup/company/{companyId}"",","PermissionList.CustomerGroupPermissions.View","CustomerGroupPermissions.View","Menu reachable","/Customers/CustomerPricingProfile/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/GetCustomerGroupByCompanyId/GetCustomerGroupByCompanyIdEndpoint.cs"
"Customers","Customers","CustomerGroups","GetCustomerGroupById","Workflow","GET","""/api/v1/customers/customerGroup/{id}"", async (Guid id, ISender sender) =>","PermissionList.CustomerGroupPermissions.View","CustomerGroupPermissions.View","Menu reachable","/Customers/CustomerPricingProfile/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/GetCustomerGroupById/GetCustomerGroupByIdEndpoint.cs"
"Customers","Customers","CustomerGroups","RemoveCustomerGroup","Workflow","DELETE","""/api/v1/customers/customerGroup/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","PermissionList.CustomerGroupPermissions.Delete","CustomerGroupPermissions.Delete","In-page action reachable","/Customers/CustomerGroup/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/RemoveCustomerGroup/RemoveCustomerGroupEndpoint.cs"
"Customers","Customers","CustomerGroups","UpdateCustomerGroup","Workflow","PUT","""/api/v1/customers/customergroup"", async (UpdateCustomerGroupRequest request, ISender sender) =>","PermissionList.CustomerGroupPermissions.Edit","CustomerGroupPermissions.Edit","In-page action reachable","/Customers/CustomerGroup/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerGroups/UpdateCustomerGroup/UpdateCustomerGroupEndpoint.cs"
"Customers","Customers","CustomerPricingProfiles","CreateCustomerPricingProfiles","Workflow","POST","""/api/v1/customers/customerPricingProfile"", async (CreateCustomerPricingProfilesRequest request, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.Create","CustomerPricingProfilePermissions.Create","In-page action reachable","/Customers/CustomerPricingProfile/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/CreateCustomerPricingProfiles/CreateCustomerPricingProfilesEndpoint.cs"
"Customers","Customers","CustomerPricingProfiles","GetCustomerPricingProfilesByCompanyId","View/List","GET","""/api/v1/customers/customerPricingProfile/company/{companyId}"",","PermissionList.CustomerPricingProfilePermissions.View","CustomerPricingProfilePermissions.View","Menu reachable","/Dashboard","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/GetCustomerPricingProfilesByCompanyId/GetCustomerPricingProfilesByCompanyIdEndpoint.cs"
"Customers","Customers","CustomerPricingProfiles","GetCustomerPricingProfilesById","Workflow","GET","""/api/v1/customers/customerPricingProfile/{id}"", async (Guid id, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.View","CustomerPricingProfilePermissions.View","Menu reachable","/Dashboard","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/GetCustomerPricingProfilesById/GetCustomerPricingProfilesByIdEndpoint.cs"
"Customers","Customers","CustomerPricingProfiles","RemoveCustomerPricingProfiles","Workflow","DELETE","""/api/v1/customers/customerPricingProfile/{id}"", async ([FromRoute] Guid id, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.Delete","CustomerPricingProfilePermissions.Delete","In-page action reachable","/Customers/CustomerPricingProfile/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/RemoveCustomerPricingProfiles/RemoveCustomerPricingProfilesEndpoint.cs"
"Customers","Customers","CustomerPricingProfiles","UpdateCustomerPricingProfiles","Workflow","PUT","""/api/v1/customers/customerPricingProfile"", async (UpdateCustomerPricingProfilesRequest request, ISender sender) =>","PermissionList.CustomerPricingProfilePermissions.Edit","CustomerPricingProfilePermissions.Edit","In-page action reachable","/Customers/CustomerPricingProfile/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/CustomerPricingProfiles/UpdateCustomerPricingProfiles/UpdateCustomerPricingProfilesEndpoint.cs"
"Customers","Customers","Customers","CreateCustomer","Workflow","POST","""/api/v1/customers/customer"", async (CreateCustomerRequest request, ISender sender) =>","PermissionList.CustomerPermissions.Create","CustomerPermissions.Create","In-page action reachable","/Customers/Customer/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/Customers/CreateCustomer/CreateCustomerEndpoint.cs"
"Customers","Customers","Customers","GetCustomerById","Workflow","GET","""/api/v1/customers/customer/{id}"", async (Guid id, ISender sender) =>","PermissionList.CustomerPermissions.View","CustomerPermissions.View","Menu reachable","/Customers/CustomerGroup/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/Customers/GetCustomerById/GetCustomerByIdEndpoint.cs"
"Customers","Customers","Customers","GetCustomersByCompanyId","View/List","GET","""/api/v1/customers/customer/company/{companyId}"",","PermissionList.CustomerPermissions.View","CustomerPermissions.View","Menu reachable","/Customers/CustomerGroup/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/Customers/GetCustomersByCompanyId/GetCustomersByCompanyIdEndpoint.cs"
"Customers","Customers","Customers","RemoveCustomer","Workflow","DELETE","""/api/v1/customers/customer/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","PermissionList.CustomerPermissions.Delete","CustomerPermissions.Delete","In-page action reachable","/Customers/Customer/List","Covered","src/Modules/Customers/CustomersModule/Customers/Features/Customers/RemoveCustomer/RemoveCustomerEndpoint.cs"
