"TestId","Module","Entity","Function","ActionKind","UINavPathOrRoute","RequiredPermission","BackendAPIFunctionCovered","PreconditionsTestData","ManualSteps","ExpectedResult","NegativePermissionCase","LocalizationRtlCheck","Result","Evidence","Notes"
"UAT-0266","Attendance and leave","Attendance","RequestEmergencyLeave","General","/LeavesManagement/EmergencyLeaves","Attendance.Attendance.RequestEmergencyLeave","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /LeavesManagement/EmergencyLeaves; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.RequestEmergencyLeave; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0271","Attendance and leave","Attendance","RequestMidDayPermission","General","/Attendance/ApprovePermissionRequests","Attendance.Attendance.RequestMidDayPermission","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/ApprovePermissionRequests; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.RequestMidDayPermission; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0261","Attendance and leave","Attendance","ReviewRequests","View/List","/Attendance/Configuration","Attendance.Attendance.ReviewRequests","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/Configuration; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.ReviewRequests; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0257","Attendance and leave","Attendance","Select","General","/Attendance/Dashboard","Attendance.Attendance.Select","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/Dashboard; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.Select; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0258","Attendance and leave","Attendance","View","View/List","/Attendance/MyAttendance","Attendance.Attendance.View","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/MyAttendance; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.View; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0273","Attendance and leave","Attendance","ViewAllReports","Report/Dashboard","/Attendance/ApprovePermissionRequests","Attendance.Attendance.ViewAllReports","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/ApprovePermissionRequests; verify widgets/table load; apply available filters/date range; compare totals with source records; verify empty-state behavior with filters that return no data.","Dashboard/report data loads, filters correctly, and matches underlying transactional records.","Sign in as a user without Attendance.Attendance.ViewAllReports; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0263","Attendance and leave","Attendance","ViewConfiguration","View/List","/Attendance/Holidays","Attendance.Attendance.ViewConfiguration","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/Holidays; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.ViewConfiguration; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0268","Attendance and leave","Attendance","ViewLeaveBalances","View/List","/LeavesManagement/Reports","Attendance.Attendance.ViewLeaveBalances","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /LeavesManagement/Reports; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.ViewLeaveBalances; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0270","Attendance and leave","Attendance","ViewLeaveReports","Report/Dashboard","/Employee/Employee/360/{Id:guid}","Attendance.Attendance.ViewLeaveReports","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Employee/Employee/360/{Id:guid}; verify widgets/table load; apply available filters/date range; compare totals with source records; verify empty-state behavior with filters that return no data.","Dashboard/report data loads, filters correctly, and matches underlying transactional records.","Sign in as a user without Attendance.Attendance.ViewLeaveReports; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0262","Attendance and leave","Attendance","ViewReports","Report/Dashboard","/Attendance/Reports","Attendance.Attendance.ViewReports","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/Reports; verify widgets/table load; apply available filters/date range; compare totals with source records; verify empty-state behavior with filters that return no data.","Dashboard/report data loads, filters correctly, and matches underlying transactional records.","Sign in as a user without Attendance.Attendance.ViewReports; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0274","Attendance and leave","Attendance","ViewScopedReports","Report/Dashboard","/Attendance/ApprovePermissionRequests","Attendance.Attendance.ViewScopedReports","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/ApprovePermissionRequests; verify widgets/table load; apply available filters/date range; compare totals with source records; verify empty-state behavior with filters that return no data.","Dashboard/report data loads, filters correctly, and matches underlying transactional records.","Sign in as a user without Attendance.Attendance.ViewScopedReports; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0314","Attendance and leave","Break Report","Navigation/access","View/List","/Attendance/Reports/Break","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Break Report; verify route /Attendance/Reports/Break loads without authorization or data errors.","Break Report is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0305","Attendance and leave","Configuration","Navigation/access","View/List","/Attendance/Configuration","PermissionList.AttendancePermissions.ReviewRequests","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Configuration; verify route /Attendance/Configuration loads without authorization or data errors.","Configuration is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0310","Attendance and leave","Daily Attendance Report","Navigation/access","View/List","/Attendance/Reports/Attendance","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Daily Attendance Report; verify route /Attendance/Reports/Attendance loads without authorization or data errors.","Daily Attendance Report is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0299","Attendance and leave","Dashboard","Navigation/access","View/List","/Attendance/Dashboard","PermissionList.AttendancePermissions.Select","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Dashboard; verify route /Attendance/Dashboard loads without authorization or data errors.","Dashboard is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0313","Attendance and leave","Early Leave Report","Navigation/access","View/List","/Attendance/Reports/EarlyLeave","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Early Leave Report; verify route /Attendance/Reports/EarlyLeave loads without authorization or data errors.","Early Leave Report is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0318","Attendance and leave","Emergency Leaves","Navigation/access","View/List","/LeavesManagement/EmergencyLeaves","PermissionList.AttendancePermissions.RequestEmergencyLeave","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Emergency Leaves; verify route /LeavesManagement/EmergencyLeaves loads without authorization or data errors.","Emergency Leaves is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0311","Attendance and leave","Employee Attendance Summary","Navigation/access","View/List","/Attendance/Reports/AttendanceSummary","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Employee Attendance Summary; verify route /Attendance/Reports/AttendanceSummary loads without authorization or data errors.","Employee Attendance Summary is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0317","Attendance and leave","Holiday / Weekend Report","Navigation/access","View/List","/Attendance/Reports/HolidayWeekend","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Holiday / Weekend Report; verify route /Attendance/Reports/HolidayWeekend loads without authorization or data errors.","Holiday / Weekend Report is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0306","Attendance and leave","Holidays","Navigation/access","View/List","/Attendance/Holidays","PermissionList.AttendancePermissions.ViewConfiguration","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Holidays; verify route /Attendance/Holidays loads without authorization or data errors.","Holidays is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0312","Attendance and leave","Late Arrival Report","Navigation/access","View/List","/Attendance/Reports/LateArrival","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Late Arrival Report; verify route /Attendance/Reports/LateArrival loads without authorization or data errors.","Late Arrival Report is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0304","Attendance and leave","Late Requests","Navigation/access","View/List","/Attendance/LateRequests","PermissionList.AttendancePermissions.Edit","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Late Requests; verify route /Attendance/LateRequests loads without authorization or data errors.","Late Requests is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0320","Attendance and leave","Leave Balances","Navigation/access","View/List","/LeavesManagement/Balances","PermissionList.AttendancePermissions.ApproveEmergencyLeave","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Leave Balances; verify route /LeavesManagement/Balances loads without authorization or data errors.","Leave Balances is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0321","Attendance and leave","Leave Reports","Navigation/access","View/List","/LeavesManagement/Reports","PermissionList.AttendancePermissions.ViewLeaveBalances","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Leave Reports; verify route /LeavesManagement/Reports loads without authorization or data errors.","Leave Reports is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0300","Attendance and leave","My Attendance","Navigation/access","View/List","/Attendance/MyAttendance","PermissionList.AttendancePermissions.View","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click My Attendance; verify route /Attendance/MyAttendance loads without authorization or data errors.","My Attendance is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0307","Attendance and leave","Permission Requests","Navigation/access","View/List","/Attendance/PermissionRequests","PermissionList.AttendancePermissions.ManageHolidays","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Permission Requests; verify route /Attendance/PermissionRequests loads without authorization or data errors.","Permission Requests is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0315","Attendance and leave","Permission Requests Report","Navigation/access","View/List","/Attendance/Reports/MidDayPermission","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Permission Requests Report; verify route /Attendance/Reports/MidDayPermission loads without authorization or data errors.","Permission Requests Report is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0309","Attendance and leave","Reports Overview","Navigation/access","View/List","/Attendance/Reports","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Reports Overview; verify route /Attendance/Reports loads without authorization or data errors.","Reports Overview is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0301","Attendance and leave","Sessions","Navigation/access","View/List","/Attendance/Sessions","PermissionList.AttendancePermissions.Create","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Sessions; verify route /Attendance/Sessions loads without authorization or data errors.","Sessions is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0303","Attendance and leave","Shift Assignments","Navigation/access","View/List","/Attendance/ShiftAssignments","PermissionList.AttendancePermissions.Edit","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Shift Assignments; verify route /Attendance/ShiftAssignments loads without authorization or data errors.","Shift Assignments is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0302","Attendance and leave","Shifts","Navigation/access","View/List","/Attendance/Shifts","PermissionList.AttendancePermissions.View","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Shifts; verify route /Attendance/Shifts loads without authorization or data errors.","Shifts is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0363","Auth and security","Assign User Roles","Navigation/access","View/List","/Auth/User/AssignRole","PermissionList.RolesPermissions.View","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Assign User Roles; verify route /Auth/User/AssignRole loads without authorization or data errors.","Assign User Roles is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0361","Auth and security","Dashboard","Navigation/access","View/List","/Auth/Dashboard","PermissionList.UsersPermissions.Select","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Dashboard; verify route /Auth/Dashboard loads without authorization or data errors.","Dashboard is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0008","Auth and security","Roles","Create","Workflow","/Auth/Role/Form","Authentication.Roles.Create","POST","Seeded company context, authorized test user, and valid Roles data where applicable.","Open /Auth/Role/Form; create or select a record in the required status; execute the workflow action linked to Authentication.Roles.Create; verify status, audit trail, downstream data, and unavailable invalid next actions.","Workflow transition succeeds only from valid state, updates visible status, and preserves permission and audit behavior.","Sign in as a user without Authentication.Roles.Create; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0010","Auth and security","Roles","Delete","Workflow","/Auth/User/AssignRole","Authentication.Roles.Delete","DELETE","Seeded company context, authorized test user, and valid Roles data where applicable.","Open /Auth/User/AssignRole; create or select a record in the required status; execute the workflow action linked to Authentication.Roles.Delete; verify status, audit trail, downstream data, and unavailable invalid next actions.","Workflow transition succeeds only from valid state, updates visible status, and preserves permission and audit behavior.","Sign in as a user without Authentication.Roles.Delete; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0009","Auth and security","Roles","Edit","Edit","/User/ForgetPassword","Authentication.Roles.Edit","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Roles data where applicable.","Open /User/ForgetPassword; select an existing record; edit allowed fields; save; verify success toast and persisted changes after refresh.","Roles changes are saved, reloaded correctly, and validation prevents invalid updates.","Sign in as a user without Authentication.Roles.Edit; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0006","Auth and security","Roles","Select","General","/User/ForgetPassword","Authentication.Roles.Select","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Roles data where applicable.","Open /User/ForgetPassword; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Roles page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Authentication.Roles.Select; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0007","Auth and security","Roles","View","Workflow","/Auth/User/AssignRole","Authentication.Roles.View","GET","Seeded company context, authorized test user, and valid Roles data where applicable.","Open /Auth/User/AssignRole; create or select a record in the required status; execute the workflow action linked to Authentication.Roles.View; verify status, audit trail, downstream data, and unavailable invalid next actions.","Workflow transition succeeds only from valid state, updates visible status, and preserves permission and audit behavior.","Sign in as a user without Authentication.Roles.View; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0362","Auth and security","Roles Management","Navigation/access","View/List","/Auth/Role/List","PermissionList.UsersPermissions.Select","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Roles Management; verify route /Auth/Role/List loads without authorization or data errors.","Roles Management is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0003","Auth and security","Users","Create","Workflow","/User/ForgetPassword","Authentication.Users.Create","POST","Seeded company context, authorized test user, and valid Users data where applicable.","Open /User/ForgetPassword; create or select a record in the required status; execute the workflow action linked to Authentication.Users.Create; verify status, audit trail, downstream data, and unavailable invalid next actions.","Workflow transition succeeds only from valid state, updates visible status, and preserves permission and audit behavior.","Sign in as a user without Authentication.Users.Create; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0005","Auth and security","Users","Delete","Workflow","/User/ForgetPassword","Authentication.Users.Delete","POST","Seeded company context, authorized test user, and valid Users data where applicable.","Open /User/ForgetPassword; create or select a record in the required status; execute the workflow action linked to Authentication.Users.Delete; verify status, audit trail, downstream data, and unavailable invalid next actions.","Workflow transition succeeds only from valid state, updates visible status, and preserves permission and audit behavior.","Sign in as a user without Authentication.Users.Delete; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
